Timestamp,Participant ID (you can use initials or any identifier),  Education Level  ,Background in Reinforcement Learning (RL)  ,Q1,Q2,Q3,Q4,Decision Tree,Q1 Estimated Time Cost (s),Q2 Estimated Time Cost (s),Q3 Estimated Time Cost (s),Q4 Estimated Time Cost (s)
27/10/2025 15:14,Lz,PhD,No prior experience,Class 6,Class 7,Class 5,Class 5,5. Very High Trust,14,16,12,18
28/10/2025 11:28,20251028,Master,Some experience,Class 6,Class 7,Class 6,Class 6,4. High Trust,10,12,8,14
12/11/2025 1:47,BL,Master,Basic familiarity,Class 6,Class 7,Class 6,Class 6,4. High Trust,46,42,36,40
12/11/2025 10:43,714,PhD,Some experience,Class 6,Class 7,Class 6,Class 6,4. High Trust,15,20,20,15
12/11/2025 19:38,Cen,Master,No prior experience,Class 6,Class 7,Class 6,Class 6,3. Neutral,10,10,10,10
15/11/2025 19:05,Neo,Master,Basic familiarity,Class 6,Class 7,Class 6,Class 5,4. High Trust,12,11,12,13
17/11/2025 15:49,Vivian,PhD,No prior experience,Class 6,Class 7,Class 6,Class 6,3. Neutral,42,36,42,46
8/12/2025 9:48,Jiaheng Wei,PhD,Some experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,30,10,20,10
8/12/2025 12:18,X,PhD,No prior experience,Class 6,Class 7,Class 6,Class 6,3. Neutral,300,60,30,30
8/12/2025 14:23,zmec008,Master,Basic familiarity,Class 6,Class 6,Class 7,Class 5,5. Very High Trust,10,2,4,3
17/12/2025 18:16,yann,PhD,Basic familiarity,Class 6,Class 7,Class 6,Class 6,4. High Trust,10,2,1,1
28/12/2025 18:46,lrg,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 6,4. High Trust,8,7,9,6
28/12/2025 18:58,hxl,PhD,Extensive experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,8,9,10,7
28/12/2025 19:02,zyf,Master,Some experience,Class 6,Class 7,Class 6,Class 6,4. High Trust,10,11,12,9
28/12/2025 19:07,whr,Undergraduate,Basic familiarity,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,13,14,15,11
28/12/2025 19:28,lmx,Undergraduate,Some experience,Class 6,Class 7,Class 6,Class 6,4. High Trust,18,20,22,20
28/12/2025 19:33,ltt,Undergraduate,Some experience,Class 6,Class 7,Class 6,Class 6,4. High Trust,12,24,28,18
28/12/2025 19:57,at,PhD,Extensive experience,Class 6,Class 7,Class 6,Class 6,5. Very High Trust,9,10,11,8
28/12/2025 19:58,zxb,Undergraduate,Basic familiarity,Class 6,Class 8,Class 6,Class 6,5. Very High Trust,11.3,16,13.6,13.9
28/12/2025 20:00,chen,Master,Some experience,Class 6,Class 8,Class 6,Class 6,5. Very High Trust,17.5,20.5,18.5,16.6
28/12/2025 20:01,alex,Master,Some experience,Class 6,Class 7,Class 7,Class 6,4. High Trust,16.4,18.5,22.3,18
