Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Cluster_1,Cluster_2,Action_Label
0.0,0.0,623.663330078125,0.0,0.0,0.0,0.0,532.5274047851562,0.0,150.921875,601.0638427734375,0.0,0.0,162.54019165039062,0.0,0.0,0,1,5
0.0,0.0,653.3040771484375,0.0,0.0,0.0,0.0,107.4316635131836,87.21083068847656,81.8277816772461,81.74716186523438,0.0,0.0,0.0,0.0,0.0,0,2,7
0.0,0.0,1341.6580810546875,0.0,0.0,0.0,0.0,727.1528930664062,0.0,665.9420776367188,1414.396484375,0.0,0.0,64.81533813476562,0.0,0.0,0,3,5
0.0,0.0,1061.9234619140625,0.0,0.0,0.0,0.0,494.4895324707031,0.0,593.92626953125,1125.7701416015625,0.0,0.0,0.0,0.0,0.0,0,4,5
0.0,0.0,616.07275390625,0.0,0.0,0.0,0.0,259.9638671875,0.0,230.87094116210932,124.39610290527344,0.0,0.0,0.0,0.0,0.0,0,5,5
0.0,0.0,478.14007568359375,0.0,0.0,0.0,0.0,696.2930908203125,0.0,274.8653564453125,1496.319091796875,0.0,0.0,441.1011657714844,0.0,0.0,0,6,8
0.0,0.0,583.0953369140625,0.0,0.0,0.0,0.0,501.0357055664063,0.0,121.80644989013672,550.300048828125,0.0,0.0,147.27413940429688,0.0,0.0,0,7,5
0.0,0.0,384.8194885253906,0.0,0.0,0.0,0.0,688.3864135742188,0.0,166.96946716308594,1494.9000244140625,0.0,0.0,517.4850463867188,0.0,0.0,0,8,8
0.0,0.0,710.8714599609375,0.0,0.0,0.0,0.0,983.8112182617188,0.0,330.645263671875,2159.495849609375,0.0,0.0,576.4458618164062,0.0,0.0,1,2,8
0.0,0.0,568.2379150390625,0.0,0.0,0.0,0.0,675.8421020507812,0.0,131.7174530029297,958.8807373046876,0.0,0.0,385.6672058105469,0.0,0.0,1,3,5
0.0,0.0,278.1790466308594,0.0,0.0,0.0,0.0,310.4914855957031,0.0,122.30681610107422,974.9281616210938,0.0,0.0,242.38365173339844,0.0,0.0,1,4,8
0.0,0.0,294.4414367675781,0.0,0.0,0.0,0.0,284.776611328125,0.0,121.81377410888672,863.3397216796875,0.0,0.0,187.25442504882807,0.0,0.0,1,5,8
0.0,0.0,384.8194885253906,0.0,0.0,0.0,0.0,688.3864135742188,0.0,166.96946716308594,1494.9000244140625,0.0,0.0,517.4850463867188,0.0,0.0,1,6,8
0.0,0.0,347.7795715332031,0.0,0.0,0.0,0.0,267.6558532714844,0.0,87.15502166748047,704.6763916015625,0.0,0.0,149.53334045410156,0.0,0.0,1,7,7
0.0,0.0,339.8065795898437,0.0,0.0,0.0,0.0,267.3916320800781,0.0,79.45964050292969,706.566650390625,0.0,0.0,151.42657470703125,0.0,0.0,1,8,7
0.0,0.0,740.1048583984375,0.0,0.0,0.0,0.0,496.81494140625,0.0,340.7948608398437,424.0528869628906,0.0,0.0,0.0,0.0,0.0,2,3,5
0.0,0.0,722.6038818359375,0.0,0.0,0.0,0.0,986.5416259765624,0.0,324.0314636230469,2160.97900390625,0.0,0.0,566.3983764648438,0.0,0.0,2,4,8
0.0,0.0,611.7137451171875,0.0,0.0,0.0,0.0,956.7493896484376,0.0,357.8526916503906,1739.851318359375,0.0,0.0,606.4764404296875,0.0,0.0,2,5,1
0.0,0.0,1716.64892578125,0.0,0.0,0.0,0.0,861.493408203125,0.0,981.4879150390624,1996.7935791015625,0.0,0.0,38.266578674316406,0.0,0.0,2,6,7
0.0,0.0,1716.64892578125,0.0,0.0,0.0,0.0,861.493408203125,0.0,981.4879150390624,1996.7935791015625,0.0,0.0,38.266578674316406,0.0,0.0,2,7,7
0.0,0.0,653.3040771484375,0.0,0.0,0.0,0.0,107.4316635131836,87.21083068847656,81.8277816772461,81.74716186523438,0.0,0.0,0.0,0.0,0.0,2,8,7
0.0,0.0,935.8806762695312,0.0,0.0,0.0,0.0,1200.222900390625,0.0,407.2837219238281,1723.3677978515625,0.0,0.0,621.2145385742188,0.0,0.0,3,4,5
