Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Cluster_1,Cluster_2,Action_Label
0.0,5753.20556640625,0.0,530.957763671875,0.0,0.0,0.0,0.0,0.0,2318.03369140625,0.0,8493.8740234375,0.0,0.0,8382.2626953125,0.0,0,1,7
0.0,6628.80419921875,0.0,1914.6448974609373,0.0,0.0,0.0,0.0,0.0,1880.88330078125,0.0,14349.767578125,0.0,0.0,11766.1572265625,0.0,0,2,6
0.0,0.0,0.0,2528.65283203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20786.431640625,0.0,0.0,9735.0625,0.0,0,3,6
0.0,4611.498046875,0.0,550.115234375,0.0,0.0,0.0,0.0,0.0,1762.911865234375,0.0,6748.19775390625,0.0,0.0,6996.48046875,0.0,0,4,7
0.0,8737.5673828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6482.86328125,0.0,22678.587890625,0.0,0.0,3191.511474609375,0.0,0,5,6
0.0,7480.56494140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4270.51953125,0.0,17331.3515625,0.0,0.0,6207.6845703125,0.0,0,6,6
0.0,5501.5986328125,0.0,33.12455749511719,0.0,0.0,0.0,0.0,0.0,2374.4228515625,0.0,8500.4130859375,0.0,0.0,7080.5908203125,0.0,0,7,7
0.0,7509.4921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6573.1650390625,0.0,29362.53125,0.0,0.0,1421.3980712890625,0.0,0,8,6
0.0,8891.552734375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6896.5458984375,0.0,23498.767578125,0.0,0.0,3105.685791015625,0.0,1,2,6
0.0,6040.66064453125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5298.2939453125,0.0,23890.884765625,0.0,0.0,1742.4647216796875,0.0,1,3,6
0.0,7740.6123046875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6499.4658203125,0.0,28780.81640625,0.0,0.0,1724.503662109375,0.0,1,4,6
0.0,6127.13427734375,0.0,991.5980834960938,0.0,0.0,0.0,0.0,0.0,2098.2294921875,296.983642578125,6716.29345703125,0.0,0.0,8865.69140625,0.0,1,5,7
0.0,5075.88720703125,0.0,3294.8857421875,0.0,0.0,1449.0338134765625,0.0,0.0,1062.1953125,371.1312255859375,7099.53125,0.0,0.0,6078.3466796875,0.0,1,6,5
